id,summary,host_is_superhost,host_since,host_response_time,neighbourhood,reviews_per_month,property_type,beds,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_dollars
1494726,"Spacious & quiet room w. private bath, for 1 (or 2) adult(s) under 6' tall (beam in room), in lower level of cozy colonial home. Country feel in the city! Close to public transportation (40 min. to downtown Boston). Great garden & porch. Golf course 5 min away",f,2013-07-15,within a few hours,Roslindale,0.37,House,1,93,9,10,10,10,10,10,75
8473851,"Sunny, smoke free home in a safe and nice neighborhood; 15 min. walk to restaurants, market, bank and shops. Free Wi-Fi; guests welcome to use kitchen appliances. 10 min walk (.40 mile) to bus lines to Forest Hills station (15 min ride to downtown).",f,2015-09-19,within a few hours,Roslindale,1.23,House,1,99,10,10,10,10,9,10,50
3575220,"My home is a villa in one of the friendliest, and safest  neighborhood of Boston. The room is spacious with two windows overlooking  the yard/street.  All utilities and WIFI are included. Shared bathroom/kitchen. The bus line is just a minute walk,",t,2014-03-17,within a few hours,Roslindale,0.33,House,1,97,10,9,10,10,9,10,45
1591827,"Cozy room with private bathroom use in Roslindale neighborhood of Boston. Typical commute into city center is 30 minutes via bus and train. Enjoy a nice room, in a nice home, with nice people and easy access to downtown at an affordable rate.",f,2013-08-28,within an hour,Roslindale,3.22,House,1,92,10,10,10,10,9,9,60
3229255,"PRIVATE 1bd apt in city neighborhood of Roslindale. Closest AirBnB to Rosi Square. Trains to downtown (15mins) just 2 mins away. Walkscore of 89! Steps from restaurants, groceries. Full kitchen, wifi, unrestricted on-street parking. Value!",t,2014-06-03,within a few hours,Roslindale,2.07,Apartment,1,99,10,10,10,10,10,10,95
1721016,"Attic studio in Roslindale Village, hardwood floors,  large open floor plan, skylights,private bathroom and small kitchenette Easy access to T, commuter rail, bus-lines, Walk to restaurants,bakery and Arnold Arboretum. Separate entrance in back.",f,2013-07-25,within a few hours,Roslindale,0.12,Apartment,1,100,10,10,10,10,10,10,89
12535687,"A private, comfortable and fully equipped in-law apartment with parking in owner´s house. The best of both worlds! It is located in a quiet, tree-lined and garden corner property in the heart of a very vibrant village with easy access to buses and train. Minutes from downtown Boston.",f,2015-03-31,N/A,Roslindale,NA,Apartment,2,NA,NA,NA,NA,NA,NA,NA,110
12994227,"A comfortable queen sofa bed in our spare bedroom in a modern condo 5min walk to Forest Hills station  15min Orange Iine T ride to the city center (Back Bay/Newbury St/Charles River, Quincy Market, Downtown Crossing, Chinatown etc) 10min walk to Arnold Arboretum  5min walk to the historic Forest Hills cemetery 20min walk to Jamaica Pond and lots of restaurant options on Center St.",f,2013-09-02,within a few hours,,NA,Condominium,1,NA,NA,NA,NA,NA,NA,NA,65
12927298,"Stay in a well cared for 1920's farmhouse that offers comfort, and quiet minutes Boston. The single family house is on a residential tree lined street close to Brookline, Boston, and Cambridge. We are a few minute walk to city transportation, and 3 stops to Back Bay on the train. Of equal distance is the 200 acre Arnold Arboretum and Roslindale Village with coffee shops, groceries, bakeries and a weekend farmer's market. This is a new listing,  please read our reviews on VRBO.",f,2016-04-19,within an hour,Roslindale,1.15,House,3,80,10,10,10,10,8,6,285
169938,,f,2011-07-12,within a day,Jamaica Plain,1,Apartment,1,NA,NA,NA,NA,NA,NA,NA,140
594693,,f,2012-04-14,within an hour,Jamaica Plain,0.46,Apartment,1,93,9,8,10,10,10,9,70
2384581,"Loft bedroom in newly renovated apartment. Located within walking distance of subway, grocery, bike path, Arboretum and equally convenient location for drivers. Ski lodge feel, sky lights, large deck, pine trees, oasis in the city. Shared bathroom w me but you've got your own cozy space!",f,2014-02-09,within a day,Jamaica Plain,0.46,House,1,93,9,9,10,10,10,9,95
735970,"Bedroom, study and private bath in large condo in Jamaica Plain near JP pond and Arnold Arboretum. Walking distance to many fine restaurants, Orange Line, and #39 Bus which goes to BFA, BPL and Copley Square.",f,2012-10-11,N/A,Jamaica Plain,0.06,Bed & Breakfast,1,100,10,9,9,9,10,10,55
4262255,"Private room in sunny spacious 3rd floor condo in Jamaica Plain, which is located approximately 12-15 mins walk from either Forest Hills Station or Green Street Orange Line T stations.  The train will have you downtown Boston in approx. 15 mins.  Downtown Jamaica Plain, where there are a bunch of restaurants, is also a 15 mins walk.",t,2014-09-28,within a few hours,Jamaica Plain,2.48,Apartment,1,99,10,10,10,10,10,10,80
4000384,"Beautiful room in Queen Anne Victorian with luxurious private bathroom. Steps away from subway; minutes to downtown Boston. Or, stay in Jamaica Plain and enjoy this burgeoning neighborhood with restaurants and shops galore!",f,2013-12-30,within a day,Jamaica Plain,2.36,House,1,97,10,10,10,10,9,10,120
6693305,"Charming room in apartment conveniently located in green JP: a 5 minute walk to the Stony Brook T stop, and 15 minutes ride downtown, and an abundance of shops, cafes, restaurants,   moments away, together with Jamaica Pond  and the Arnold Arboretum.",t,2014-04-15,within a few hours,Jamaica Plain,0.07,Apartment,1,100,10,8,10,10,10,10,65
6730758,"Modern & spacious private space with separate entrance for 1-4!  Plenty of free parking.  Priv full bath, dining & living room area. With yard/garden and blocks away from bike paths and amenities. 5min walk to T and 15 min ride to downtown Boston. Family-friendly with crib and gear available!",t,2010-08-20,within an hour,Jamaica Plain,3.03,Apartment,2,97,10,10,10,10,9,10,100
6248970,"1 bedroom available in updated unit with modern kitchen walking distance to subway (T), private use of bathroom, short distance to downtown Boston",t,2015-05-02,within an hour,,4.29,Apartment,1,96,10,9,10,10,9,10,65
12806707,"Eco-friendly, vegetarian, LGBTQ friendly household located in the heart of Jamaica Plain comprised of working musicians. We are a quick 20 minute bus ride from Back Bay (39 bus).",f,2012-11-27,within a few hours,Jamaica Plain,NA,House,1,NA,NA,NA,NA,NA,NA,NA,60
14246616,"My place is in the heart of JP right off of Centre St, a bustling area with shops, restaurants, bars, and convenience stores. The apartment is conveniently located between grocery stores (whole foods and stop and shop) both 5 min walking distance in different directions, as well as public transit orange line T stops, less than 10 min walk. Close to 39 bus.   You will love my place because of the cozy comfortable environment, great lighting, and lovely roommates!",f,2013-02-11,a few days or more,Jamaica Plain,2.73,Apartment,1,73,9,5,10,10,9,9,63
3703674,"Our lovely townhouse apartment consists of two floors, this private room and bathroom are downstairs from the main floor of the home. The apartment is a gorgeous Victorian style home in the center of Jamaica Plain. Guest will have full use of our shared spaces.",f,2013-10-10,within a few hours,Jamaica Plain,0.62,Townhouse,1,100,9,10,10,9,10,9,75
4792901,"Truly wonderful home in JP. On the beautiful Jamaica Pond. Washer/dryer & dishwasher included. Big kitchen, living room & common area. Close to Mbta buses and trains. Unique and accommodating!",f,2014-12-10,N/A,Jamaica Plain,0.16,House,1,90,9,9,9,9,10,9,65
5717528,"Private room (free of personal possessions). Available for short term or month long stays. Two blocks from the Stony Brook T stop on the Orange line.  All access to our home including full kitchen, washer/dryer, and on street parking.",f,2013-07-10,within a day,Jamaica Plain,0.48,Apartment,1,94,10,10,10,9,9,9,110
5601743,"We are an artist collective who live in a cozy 2 family home in Jamaica Plain.., steps away from an orange line T stop! We are so excited to help travelers experience the BEST Boston has to offer: culture, comfort, and cooperative living:)",f,2014-08-01,within a few hours,Jamaica Plain,1.46,House,1,82,8,7,9,9,9,8,46
13333862,"My place is close to Sam Adams Brewery, Stony Brook T Station, Southwest Corridor Park and Bike Trail, Ula Cafe, City Feed and Supply, Bella Luna Restaurant & the Milky Way Lounge, , Stonybrook Fine Arts, and Chilacates.. You’ll love my place because of the location, the ambiance, the people, the neighborhood, and the outdoors space.. My place is good for couples and solo adventurers. The apartment has a guest room that sleeps two and a couch that sleeps one.",f,2013-02-24,within a day,Jamaica Plain,NA,Apartment,1,NA,NA,NA,NA,NA,NA,NA,75
519272,"Enjoy your stay in our Jamaica Plain home.   Country living in the city!  Get a dose of Jamaica Plain. Stay in our cozy and clean home, visit parks, shops and gardens.  Walk to the orange line,  Franklin Park, Arnold Arboretum, Centre Street, JP. ",f,2012-05-23,N/A,Jamaica Plain,0.31,Apartment,1,98,10,10,10,10,10,10,62
14090779,"We are located in the heart of JP, right off Centre street which is full of cafes, restaurants, pubs and shopping. We are also a 4min walk to Jamaica Pond, an excellent place to go for a stroll, a run or for a picnic. You can even rent rowboats!  My place is close to Stony Brook Station (10 min walk) and the 39 Bus (around the corner from our house) which will take you right to Boylston and Newbury streets as well as the Museum of Fine Arts and other Boston attractions.",f,2013-04-26,within a day,Jamaica Plain,NA,Condominium,1,NA,NA,NA,NA,NA,NA,NA,69
8481291,"Quiet, airy, and clean private room in a nice and comfortable apartment in the Franklin Park area of Jamaica Plain. Surrounded by nature, close to amenities, and within 20-25 minute commuting distance to downtown and the Longwood area.",f,2013-08-14,N/A,Jamaica Plain,0.36,Apartment,1,100,10,10,10,10,10,10,69
6990904,"Queen size bed, closet, bedside table, book shelf, and dresser on third floor of spacious home with garden. We are a young family with a cat and a toddler. Close to cafes, restaurants, playgrounds, parks, bike way & 20 minutes to downtown by subway.",f,2015-06-23,within a day,Jamaica Plain,1.35,House,1,99,10,9,10,10,9,10,73
197727,Great area of Boston Close to medical area lots of nearby green space,f,2011-08-13,within a few hours,Jamaica Plain,0.36,Apartment,1,99,10,10,10,10,10,10,85
932853,Quiet and clean condo in the heart of JP.  You'll be 10 minutes from Copley Square in downtown.  Great restaurants and shops minutes away.   Beautiful Jamaica Pond and Arnold Arboretum a few blocks away.,t,2013-02-09,within a few hours,Jamaica Plain,0.41,Apartment,1,96,9,10,10,10,10,9,120
11159585,"Quiet Residential Boston Neighborhood.Nearby attractions are Lars Anderson Park,Arnold Arboretum,Jamaica Pond and the emerald Necklace. Minutes to Downtown Boston by car or Bicycle. 40 minutes by public transportation",f,2016-02-05,within a few hours,Jamaica Plain,0.21,House,2,100,10,10,10,10,10,10,125
9677354,"Spacious 3rd floor apartment shared with a friendly couple. Guests stay in our living room with a comfy pullout couch and have their own entrance. We share our dining room, kitchen, and bathroom. Walking distance from public transport and Center st.",f,2011-02-14,within a day,Jamaica Plain,1.35,Apartment,1,93,10,9,10,10,10,9,70
13426831,"My place is close to Green Street Station (Orange Line), Sam Adams Brewery, Jamaica Pond, Arnold Arboretum, City Feed & Supply, J.P. Licks, Centre Street Cafe, Bukhara Indian Bistro, and Wonder Spice Cafe. You’ll love my place because of the location, the people, the ambiance, and the neighborhood. My place is good for couples and solo adventurers.",f,2014-06-29,within an hour,Jamaica Plain,NA,Condominium,1,NA,NA,NA,NA,NA,NA,NA,100
7956634,"Cozy room of your own in my 2 bedroom condo near stores, restaurants, and public transit (bus and subway) into Boston. Renovated kitchen and bath. Two cats in residence.",f,2013-08-14,within a day,Jamaica Plain,0.78,Condominium,1,97,10,10,10,10,10,10,61
568234,Unique find - a single family home with off street parking in Boston's hippest neighborhood!  Your room with private bath is very serene and it's a short stroll to restaurants and public transportation.  It's also an easy trip from the airport.,f,2012-07-01,within an hour,Jamaica Plain,2.61,House,2,97,10,10,10,10,10,10,125
1030500,"Private apartment with full kitchen, full bath, queen bed, plus fold-out, twin sofa, in daylight basement  The neighborhood is quiet and welcoming. 15 min walk to the Orange line or a 3 minute bus ride. Plenty of free, on street parking.",f,2013-03-28,within a few hours,Jamaica Plain,0.35,Apartment,1,88,9,9,10,10,8,9,100
13652374,Lugares de interés: Arnold Arboretum Walter Street Gate. Mi alojamiento es bueno para aventureros.,f,2015-02-16,a few days or more,Jamaica Plain,NA,Apartment,1,NA,NA,NA,NA,NA,NA,NA,27
12930651,"Our apartment is located in Jamaica Plain - a vibrant neighborhood in the city of Boston, full of families, working professionals, musicians & artists. Room is well-sized & has a queen sized bed. 1 minute walk to the bus (39 bus route) & a 5 minute walk to the subway (orange line) - both offering direct & quick access to downtown Boston. Our place is good for couples, solo adventurers, & business travelers looking for a quiet home base that offers easy access to all that Boston has to offer!",f,2013-03-22,within a few hours,Jamaica Plain,3.91,Apartment,1,98,10,9,10,10,10,10,80
3997572,"This quiet room is in a beautiful house in the heart of JP Center with it's own Bathroom. Just a block from Jamaica Pond, and JP Center shops and 30 secnds from the 39 bus to downtown as well as minutes from the Green st. Subway. ",f,2012-02-24,within an hour,Jamaica Plain,0.12,House,1,100,10,10,10,10,9,9,85
4223387,"Hi there -- we have a comfortable large room with a double and a single bed and shared bath for up to two adults and a child. Our 1895 home is very near the T (Orange line) and many cool Jamaica Plain spots. Sorry, no breakfast and no late arrivals.",f,2013-03-30,within an hour,Jamaica Plain,1.83,House,2,91,9,10,10,10,9,9,75
12855396,"Spacious bright room! This Comfortable and convenient room is walking distance to public transportation, whole foods supermarket and local restaurants.  Here you will be with a shared bathroom and two other working professionals. You won't need a car in this neighborhood!",f,2014-05-27,within a few hours,,0.44,House,1,20,10,10,10,10,2,6,57
12426823,"Private room with full size bed and shared bathroom. Easy access to several universities and colleges. Heating and central AC. 5 min from subway station. Fresh sheets and towels guaranteed, plus access to fully equipped kitchen.",f,2014-07-02,N/A,Jamaica Plain,NA,Apartment,1,NA,NA,NA,NA,NA,NA,NA,100
14361322,"My place is close to Public Transportation (7 min walk to station) Food (Whole Foods/ Stop and Shop/ Restaurants) A bunch of restaurants, bodegas, and local shops line this street so you will never be hungry!  If you're venturing around Boston, the trains (we call it the MBTA) will take you all over the city as well as outside (Cambridge/Somerville/etc). The apartment itself is cozy and quiet- home to a few artists. My place is good for solo adventurers, considering my mattress is twin size.",f,2014-07-28,within a day,Jamaica Plain,NA,Apartment,1,NA,NA,NA,NA,NA,NA,NA,40
2963419,"Comfortable bedroom in a spacious two bedroom condo with owner Lucia.  Great neighborhood. Easy walk to cafes, market, park, rapid transit. Love longterm stays. Welcome international grad and doctorate students.",f,2014-05-05,within a day,Jamaica Plain,0.71,House,1,98,10,10,10,10,10,10,100
